Method, Cyclomatic Complexity
testEmptyMapIterator, 3
asEnumeration, 1
testListListIteratorNextRemovePrevious, 3
emptyMultiSet, 1
testCollatedIterator, 1
falsePredicate, 1
setPredicate, 1
setOffset, 2
testBloomFilterBasedMergeEdgeCases, 1
setUp, 1
testMultiSetRemove, 2
testForEachPairReturnFalseLateShortArray, 1
testAsIndexArray, 2
testNewArrayList, 1
testUnknownObjectBehavior, 1
chainedComparator, 1
testBadListComparatorChain, 1
testIntCollectionAddAll, 1
testClearException, 1
emptyOrderedIterator, 1
testPrefixMapClear, 1
sizeIsEmpty, 8
duplicateSet, 1
makeKey, 1
testMapIteratorRemoveGetValue, 2
updateNode, 1
size, 1
transformedCollection, 2
emptyCollection, 1
setCollection, 1
testCosineSimilarity, 1
testReverseListSort, 1
nullCollectionToGetInstance, 1
testListIteratorSet, 2
bulkTestBidiMapIterator, 1
testAddMultiple, 1
testGetEnumeration, 1
testKeySetSize, 1
testResolveCollision, 1
exceptionClosure, 1
testMultiSetEqualsSelf, 2
readValueUnderLock, 1
jaccardDistance, 1
testFailedCollisionResolution, 1
testSizeIsEmpty_Map, 1
emptySortedBag, 1
makeTestBag, 1
testAdvanceOnCount, 2
testSimpleSerialization, 2
synchronizedMap, 1
testAddIgnoreNull, 1
union, 1
getFactory, 1
branchIterator, 1
singleElementArrayToGetInstance, 1
testMapIsEmpty, 1
suite, 1
getElement, 1
getParameters, 1
testRemoveAllNullSubColl, 1
unmodifiableSortedSet, 2
retainAll, 1
emptyIterator, 1
testRemoveCountStartNegative, 1
testSerialisation0, 1
inverseBidiMap, 2
resolve, 5
testSerialisation2, 1
testSerialisation4, 1
getLast, 2
uniqueElements, 1
testBidiGetKeyInverse, 1
empty, 1
compute, 1
checkSetValue, 1
testForEachCellPredicates, 1
testNestedSixes, 1
testBidiRemoveByHeadMapEntrySet, 2
intersection, 1
putInternal, 7
makeMapEntry, 1
testRemoveAllViaIterator, 2
testAll, 1
testEitherPredicateEx, 1
testRemoveLRUBlocksRemoveScan, 1
testImmediatePushback, 1
bulkTestOrderedMapIterator, 1
getGrandParent, 1
test_get_nullMatchesIncorrectly, 2
removeStale, 2
singletonIterator, 1
testMinimal, 4
testOffsetGreaterThanSize, 1
testBidiRemoveBySubMap, 2
testLoadOrderedKeys, 1
testMapEntrySetIteratorEntrySetValue, 2
testInvokerTransformer2, 1
testBidiRemoveByHeadMap, 2
list, 1
testGetFirst, 1
isAllowNullValueGet, 1
testDecorator, 1
testReverseSortOrder, 1
eval, 1
testToList, 1
testStringPropertyName, 1
makeTestSet, 1
isNotEmpty, 1
assertSymmetricOperation, 1
testSize_List, 1
lengthInBits, 2
nopTransformer, 1
asIndexArray, 1
getShape, 1
testDuplicateListMultipleDuplicatesInList, 1
getNumberOfHashFunctions, 1
testNeitherPredicateEx, 1
makePassThroughFilter, 1
remove, 1
testIsEmptyWithEmptyMap, 1
testBadNumberOfHashFunctions, 1
testGet3, 1
checkIndexBounds, 2
testGet2, 1
testGet1, 1
testExceptionTransformer, 1
testGetFromLinkedHashMap, 1
testPutAll_KeyCollection, 1
clearNextObject, 1
unmodifiableSortedBag, 1
testIteration_Transformed3, 1
testRemoveRangeWrongEndIndex, 1
testArrayList, 1
testIteration_Transformed2, 1
testIteration_Transformed1, 1
testChainedTransformer, 1
getCollection, 1
testLongestCommonSubsequence, 1
containsMapping, 1
strongValues, 1
makeFullCollection, 1
testFactoryMethods, 1
walkBackward, 2
populateMap, 1
writeExternalFormToBytes, 1
testInstance, 1
testPermutatorHasMore, 2
computeIfPresent, 2
totalSize, 1
populate, 3
testHeadMapOutOfRange, 2
testCreatePredicatedCollectionWithPredicate, 1
testChainedClosure, 1
ifClosure, 1
testAddNull, 1
testGetMap, 1
isEqualsCheckable, 1
firstFromIterable, 1
arrayListIterator, 1
emptySortedSet, 1
fixedSizeSortedMap, 1
nextGreater, 4
testDuplicateListWithDuplicates, 1
makeEntryArray, 2
isOutOfBoundsIndex, 1
getOtherKeys, 1
hashEntry, 1
testNext, 1
transformingMap, 1
testToCollection, 1
createExtractor, 1
nullElementInArrayToGetInstance, 1
previousEntry, 3
toArray, 1
testSubListIsUnmodifiable, 1
testEvens, 1
setMutator, 1
testUnmodifiableSet, 1
testNullIsTruePredicateEx1, 1
testGetMaxInsert, 1
testBadNumberOfBits, 1
removeInternalEntry, 11
getMaxInsert, 2
defaultEquator, 1
testListGetByIndexBoundsChecking, 1
testEmptyQueueSerialization, 2
testListAddByIndex, 3
testOrderedMap, 1
makeConfirmedMap, 1
duplicateList, 1
testEmptyIteratorWithNodeConstructor, 1
hash, 1
createMock, 1
testDuplicateSetEmptySet, 1
testContainsValue_Key, 4
ceilingEntry, 8
getTransformer, 1
testAsPredicateTransformer, 1
