Method, Cyclomatic Complexity
paint, 1
run, 2
main, 1
testIEEEremainder, 7
getMainPanel, 1
testCbrt, 4
asList, 1
testAsin, 4
showExampleFrame, 1
getYVelocity, 1
fitness, 2
normalize, 2
setTestImage, 1
stopRequest, 1
getMinimumSize, 1
testTan, 4
getMeasuredY, 1
getMeasuredX, 1
testExp, 4
testAtan2, 7
getScreenShot, 1
testCos, 4
testAcos, 4
generateNoiseVector, 1
getStringRepresentation, 1
makeCircle, 3
paintComponent, 1
testLog1p, 4
getXVelocity, 1
isAlive, 1
getInitialPopulation, 2
resizeImage, 1
testAbs, 4
cannonballTest, 2
testTanh, 4
makeMoons, 4
getMaximumSize, 1
createChart, 1
randomPolygon, 2
startEvolution, 2
testAtan, 4
makeRandom, 2
newFixedLengthChromosome, 1
getPolygonRepresentation, 1
testPow, 4
testSin, 4
actionPerformed, 2
transform, 1
assertTrue, 2
testHypot, 7
getVoltage, 1
getMeasuredVoltage, 1
createComponent, 1
makeCircles, 4
mutate, 2
testLog, 4
testSinh, 4
testLog10, 4
draw, 2
randomRepresentation, 1
testCosh, 4
checkValidity, 2
call, 1
randomChromosome, 2
getX, 1
testExpm1, 4
getY, 1
getPreferredSize, 1
makeBlobs, 6
testSqrt, 4
report, 1
testSimpleBenchmark, 1
constantVoltageTest, 2
isSatisfied, 3
step, 4
toString, 1
nextVector, 1
setRefImage, 1
