Package,Class Name,TCC
org.apache.commons.collections4.CollectionUtils,CollectionUtils,0.00
org.apache.commons.collections4.CollectionUtils.CardinalityHelper,CardinalityHelper,0.00
org.apache.commons.collections4.CollectionUtils.EquatorWrapper,EquatorWrapper,0.00
org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper,SetOperationCardinalityHelper,0.00
org.apache.commons.collections4.bag.TransformedBag,TransformedBag,0.00
org.apache.commons.collections4.bag.TransformedSortedBag,TransformedSortedBag,0.00
org.apache.commons.collections4.bag.TreeBag,TreeBag,0.00
org.apache.commons.collections4.bag.UnmodifiableSortedBag,UnmodifiableSortedBag,0.00
org.apache.commons.collections4.bag.AbstractSortedBagDecorator,AbstractSortedBagDecorator,0.00
org.apache.commons.collections4.bag.PredicatedSortedBag,PredicatedSortedBag,0.00
org.apache.commons.collections4.bag.PredicatedBag,PredicatedBag,0.00
org.apache.commons.collections4.bag.CollectionSortedBag,CollectionSortedBag,0.00
org.apache.commons.collections4.bag.CollectionBag,CollectionBag,0.00
org.apache.commons.collections4.bag.AbstractBagDecorator,AbstractBagDecorator,0.00
org.apache.commons.collections4.bag.UnmodifiableBag,UnmodifiableBag,0.00
org.apache.commons.collections4.bag.SynchronizedBag,SynchronizedBag,0.00
org.apache.commons.collections4.bag.SynchronizedBag.SynchronizedBagSet,SynchronizedBagSet,0.00
org.apache.commons.collections4.bag.HashBag,HashBag,0.00
org.apache.commons.collections4.bag.SynchronizedSortedBag,SynchronizedSortedBag,0.00
org.apache.commons.collections4.bag.AbstractMapBag,AbstractMapBag,0.00
org.apache.commons.collections4.bag.AbstractMapBag.BagIterator,BagIterator,0.00
org.apache.commons.collections4.bag.AbstractMapBag.MutableInteger,MutableInteger,0.00
org.apache.commons.collections4.ListUtils,ListUtils,0.00
org.apache.commons.collections4.ListUtils.CharSequenceAsList,CharSequenceAsList,0.00
org.apache.commons.collections4.ListUtils.LcsVisitor,LcsVisitor,0.00
org.apache.commons.collections4.ListUtils.Partition,Partition,0.00
org.apache.commons.collections4.comparators.BooleanComparator,BooleanComparator,0.00
org.apache.commons.collections4.comparators.NullComparator,NullComparator,0.00
org.apache.commons.collections4.comparators.ComparableComparator,ComparableComparator,0.00
